adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;200000;14.0;Fantasy;579296;en;Abnormal Attraction;2.349;0;107;Released;6.8;4
False;0;35.0;Comedy;493201;en;Todd Glass: Act Happy;3.046;0;62;Released;5.3;8
False;4000000;27.0;Horror;486684;en;Aux;1.772;0;83;Released;8.0;3
False;4000000;28.0;Action;486684;en;Aux;1.772;0;83;Released;8.0;3
False;4000000;53.0;Thriller;486684;en;Aux;1.772;0;83;Released;8.0;3
False;0;99.0;Documentary;502133;en;Social Animals;2.534;0;87;Released;6.5;11
False;0;18.0;Drama;466410;en;Who We Are Now;3.382;0;101;Released;5.6;14
False;0;10749.0;Romance;565274;en;Christmas on Holly Lane;1.5;0;;Released;7.3;3
False;0;18.0;Drama;565274;en;Christmas on Holly Lane;1.5;0;;Released;7.3;3
False;0;10770.0;TV Movie;565274;en;Christmas on Holly Lane;1.5;0;;Released;7.3;3
False;0;35.0;Comedy;535197;en;Grandmother's Gold;1.739;0;81;Released;7.5;2
False;0;878.0;Science Fiction;535197;en;Grandmother's Gold;1.739;0;81;Released;7.5;2
False;0;27.0;Horror;495031;en;Demon;3.284;0;70;Released;0.0;0
False;0;80.0;Crime;554110;en;In Echo Park;1.598;0;80;Released;7.3;3
False;0;18.0;Drama;554110;en;In Echo Park;1.598;0;80;Released;7.3;3
False;0;99.0;Documentary;509914;en;No Greater Law;2.836;0;89;Released;8.0;3
False;0;18.0;Drama;526775;en;Driven to Dance;1.917;0;98;Released;6.1;6
False;0;27.0;Horror;565428;zh;人面魚：紅衣小女孩外傳;1.547;0;115;Released;7.2;6
False;0;28.0;Action;534296;en;Intensive Care;2.22;0;80;Released;4.8;4
False;0;80.0;Crime;534296;en;Intensive Care;2.22;0;80;Released;4.8;4
False;0;27.0;Horror;534296;en;Intensive Care;2.22;0;80;Released;4.8;4
False;60000;53.0;Thriller;499791;en;M/M;1.816;0;81;Released;6.7;3
False;0;35.0;Comedy;508562;en;Drinksgiving;2.512;0;89;Released;4.5;4
False;314701;27.0;Horror;547681;en;Mandy the Haunted Doll;1.683;0;74;Released;5.7;3
False;0;27.0;Horror;287523;en;Death House;3.624;10615000;95;Released;3.2;18
False;0;28.0;Action;287523;en;Death House;3.624;10615000;95;Released;3.2;18
False;0;80.0;Crime;287523;en;Death House;3.624;10615000;95;Released;3.2;18
False;0;878.0;Science Fiction;287523;en;Death House;3.624;10615000;95;Released;3.2;18
False;0;53.0;Thriller;287523;en;Death House;3.624;10615000;95;Released;3.2;18
False;0;18.0;Drama;522530;en;The Iron Orchard;1.657;0;112;Released;7.0;2
False;0;36.0;History;522530;en;The Iron Orchard;1.657;0;112;Released;7.0;2
False;0;10749.0;Romance;522530;en;The Iron Orchard;1.657;0;112;Released;7.0;2
False;0;35.0;Comedy;505626;en;Hell's Kitty;1.463;0;98;Released;3.3;4
False;0;27.0;Horror;505626;en;Hell's Kitty;1.463;0;98;Released;3.3;4
False;0;53.0;Thriller;545155;en;Dying for the Crown;2.376;0;;Released;3.0;1
False;0;10770.0;TV Movie;545155;en;Dying for the Crown;2.376;0;;Released;3.0;1
False;0;28.0;Action;571117;en;Chokehold;1.93;0;98;Released;0.0;0
False;0;80.0;Crime;571117;en;Chokehold;1.93;0;98;Released;0.0;0
False;0;18.0;Drama;571117;en;Chokehold;1.93;0;98;Released;0.0;0
False;0;10749.0;Romance;501628;en;Wobble Palace;1.635;0;85;Released;6.0;1
False;0;35.0;Comedy;501628;en;Wobble Palace;1.635;0;85;Released;6.0;1
False;0;18.0;Drama;501628;en;Wobble Palace;1.635;0;85;Released;6.0;1
False;0;99.0;Documentary;510714;en;The Director and The Jedi;2.731;0;95;Released;7.4;17
False;0;27.0;Horror;544780;en;Terror Talk;1.49;0;89;Released;3.7;3
False;0;18.0;Drama;513236;en;Something;1.961;0;86;Released;6.9;4
False;0;27.0;Horror;513236;en;Something;1.961;0;86;Released;6.9;4
False;0;9648.0;Mystery;513236;en;Something;1.961;0;86;Released;6.9;4
False;0;27.0;Horror;564176;en;Deadsight;1.025;0;89;Released;6.0;6
False;0;99.0;Documentary;537618;en;Truth and Lies: Waco;1.936;0;81;Released;6.0;2
False;0;18.0;Drama;537618;en;Truth and Lies: Waco;1.936;0;81;Released;6.0;2
False;0;35.0;Comedy;547354;ml;ജോണി ജോണി യെസ് അപ്പ;1.276;0;143;Released;5.0;3
False;0;18.0;Drama;547354;ml;ജോണി ജോണി യെസ് അപ്പ;1.276;0;143;Released;5.0;3
False;0;18.0;Drama;571622;en;The Wrong Teacher;1.801;0;;Released;6.5;2
False;0;10770.0;TV Movie;571622;en;The Wrong Teacher;1.801;0;;Released;6.5;2
False;0;16.0;Animation;566611;en;Howard Lovecraft and the Kingdom of Madness;1.863;0;75;Released;5.5;6
False;0;12.0;Adventure;566611;en;Howard Lovecraft and the Kingdom of Madness;1.863;0;75;Released;5.5;6
False;0;18.0;Drama;470834;en;Mary Goes Round;2.554;0;87;Released;6.4;5
False;0;10770.0;TV Movie;550028;en;A Majestic Christmas;1.117;0;90;Released;4.3;3
False;0;10751.0;Family;550028;en;A Majestic Christmas;1.117;0;90;Released;4.3;3
False;0;99.0;Documentary;502159;en;Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders;1.495;0;86;Released;7.8;4
False;0;99.0;Documentary;543638;en;Stolen Daughters: Kidnapped By Boko Haram;1.282;0;79;Released;7.5;2
False;0;28.0;Action;543165;en;Uncharted: Live Action Fan Film;2.585;0;14;Released;7.7;25
False;0;12.0;Adventure;543165;en;Uncharted: Live Action Fan Film;2.585;0;14;Released;7.7;25
False;0;18.0;Drama;495362;te;అజ్ఞాతవాసి;1.987;0;158;Released;4.5;6
False;0;28.0;Action;495362;te;అజ్ఞాతవాసి;1.987;0;158;Released;4.5;6
False;0;53.0;Thriller;561246;en;Seduced by My Neighbor;1.87;0;70;Released;5.0;4
False;0;10770.0;TV Movie;561246;en;Seduced by My Neighbor;1.87;0;70;Released;5.0;4
False;0;27.0;Horror;532153;en;Amazon Hot Box;1.363;0;85;Released;4.5;2
False;0;28.0;Action;532153;en;Amazon Hot Box;1.363;0;85;Released;4.5;2
False;0;35.0;Comedy;371744;en;Taco Shop;1.443;0;85;Released;4.7;3
False;0;99.0;Documentary;521669;en;27: Gone Too Soon;3.025;0;70;Released;6.2;22
False;0;16.0;Animation;461844;en;Liyana;1.852;0;77;Released;0.0;2
False;0;99.0;Documentary;461844;en;Liyana;1.852;0;77;Released;0.0;2
False;0;18.0;Drama;519584;en;Three Worlds;1.958;0;90;Released;7.3;4
False;0;878.0;Science Fiction;519584;en;Three Worlds;1.958;0;90;Released;7.3;4
False;0;99.0;Documentary;543631;en;Swiped: Hooking Up in the Digital Age;1.658;0;82;Released;5.7;3
False;0;53.0;Thriller;549253;en;Family Vanished;1.456;0;83;Released;4.4;8
False;0;10751.0;Family;552016;en;A Christmas in Tennessee;1.793;0;90;Released;6.3;8
False;0;10770.0;TV Movie;552016;en;A Christmas in Tennessee;1.793;0;90;Released;6.3;8
False;0;10749.0;Romance;552016;en;A Christmas in Tennessee;1.793;0;90;Released;6.3;8
False;0;10751.0;Family;537034;en;A.R.C.H.I.E. 2: Mission Impawsible;1.63;0;82;Released;0.0;0
False;4833;35.0;Comedy;500802;en;Super November;2.222;0;77;Released;0.0;0
False;4833;10749.0;Romance;500802;en;Super November;2.222;0;77;Released;0.0;0
False;4833;18.0;Drama;500802;en;Super November;2.222;0;77;Released;0.0;0
False;0;28.0;Action;507809;en;Fury of the Fist and the Golden Fleece;1.258;0;107;Released;4.7;3
False;0;18.0;Drama;508631;en;Eat Me;1.779;0;95;Released;3.3;3
False;0;53.0;Thriller;508631;en;Eat Me;1.779;0;95;Released;3.3;3
False;0;99.0;Documentary;488740;ar;Of Fathers And Sons - Die Kinder des Kalifats;2.561;0;99;Released;6.8;21
False;0;10752.0;War;488740;ar;Of Fathers And Sons - Die Kinder des Kalifats;2.561;0;99;Released;6.8;21
False;0;27.0;Horror;561291;en;Winterskin;1.501;0;84;Released;5.3;3
False;1300000;18.0;Drama;471288;en;Dreams I Never Had;2.874;0;81;Released;9.0;1
False;0;18.0;Drama;527701;en;Mistrust;2.348;0;90;Released;4.5;6
False;200000;99.0;Documentary;526584;en;Going to War;1.771;0;60;Released;0.0;0
False;200000;10752.0;War;526584;en;Going to War;1.771;0;60;Released;0.0;0
False;0;18.0;Drama;451422;en;Little Pink House;2.238;0;98;Released;6.3;11
False;0;53.0;Thriller;543016;en;Room for Murder;2.278;0;87;Released;6.0;4
False;0;99.0;Documentary;502135;en;TransMilitary;1.697;0;93;Released;7.0;1
False;0;18.0;Drama;497622;en;Change in the Air;1.907;0;94;Released;5.5;2
False;0;10749.0;Romance;565599;en;A Christmas for the Books;3.019;0;90;Released;5.9;11
False;0;10770.0;TV Movie;565599;en;A Christmas for the Books;3.019;0;90;Released;5.9;11
False;170000;99.0;Documentary;508466;es;Desenterrando Sad Hill;2.257;22834;86;Released;7.1;36
False;0;9648.0;Mystery;511129;en;Stillwater;3.212;0;92;Released;6.0;13
False;0;53.0;Thriller;511129;en;Stillwater;3.212;0;92;Released;6.0;13
False;0;18.0;Drama;574194;en;The Quiet Room;1.099;0;28;Released;7.0;3
False;0;27.0;Horror;574194;en;The Quiet Room;1.099;0;28;Released;7.0;3
False;0;53.0;Thriller;574194;en;The Quiet Room;1.099;0;28;Released;7.0;3
False;0;18.0;Drama;508781;en;We the Coyotes;1.64;0;87;Released;5.6;7
False;0;99.0;Documentary;490816;en;On Her Shoulders;1.289;0;95;Released;5.4;4
False;0;35.0;Comedy;511751;en;Idle Thoughts;2.359;0;100;Released;5.0;3
False;0;18.0;Drama;511751;en;Idle Thoughts;2.359;0;100;Released;5.0;3
False;0;10749.0;Romance;511751;en;Idle Thoughts;2.359;0;100;Released;5.0;3
False;0;18.0;Drama;567681;en;The System;1.456;0;92;Released;6.0;2
False;0;53.0;Thriller;567681;en;The System;1.456;0;92;Released;6.0;2
False;0;9648.0;Mystery;567681;en;The System;1.456;0;92;Released;6.0;2
False;0;18.0;Drama;543749;en;Silencio;1.73;0;98;Released;8.0;4
False;0;9648.0;Mystery;543749;en;Silencio;1.73;0;98;Released;8.0;4
False;0;53.0;Thriller;543749;en;Silencio;1.73;0;98;Released;8.0;4
False;0;99.0;Documentary;502154;en;Alt-Right: Age of Rage;1.677;0;112;Released;6.1;7
False;0;27.0;Horror;558655;en;Flesh & Blood;2.984;0;90;Released;5.5;15
False;0;53.0;Thriller;558655;en;Flesh & Blood;2.984;0;90;Released;5.5;15
False;0;10770.0;TV Movie;558655;en;Flesh & Blood;2.984;0;90;Released;5.5;15
False;0;27.0;Horror;445869;en;Fantasma;2.195;0;84;Released;5.0;3
False;0;35.0;Comedy;539056;he;Tel Aviv on Fire;3.989;0;100;Released;6.9;31
